Op	InType	OutType	Template	DesignStat	DPD	TWDFR
mul_by_4194304	unsigned32	unsigned32	sync	impl	0,376	-0,019
mul_by_4194304	unsigned64	unsigned64	sync	impl	0,526	-0,135
mul_by_4194304	signed32	signed32	sync	impl	0,376	-0,019
mul_by_4194304	signed64	signed64	sync	impl	0,526	-0,135
div_by_4194304	unsigned32	unsigned32	sync	impl	0,376	-0,019
div_by_4194304	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_4194304	signed32	signed32	sync	impl	2,088	-0,102
div_by_4194304	signed64	signed64	sync	impl	2,503	-0,068
dotnet_shift_left_by_23	unsigned64	unsigned64	sync	impl	0,514	-0,019
dotnet_shift_left_by_23	signed64	signed64	sync	impl	0,514	-0,019
dotnet_shift_right_by_23	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_23	signed64	signed64	sync	impl	0,752	-0,121
dotnet_shift_left_by_23	unsigned32	unsigned32	sync	impl	0,382	-0,019
dotnet_shift_left_by_23	signed32	signed32	sync	impl	0,382	-0,019
dotnet_shift_right_by_23	unsigned32	unsigned32	sync	impl	0,514	-0,019
dotnet_shift_right_by_23	signed32	signed32	sync	impl	1,188	-0,071
mul_by_8388608	unsigned32	unsigned32	sync	impl	0,382	-0,019
mul_by_8388608	unsigned64	unsigned64	sync	impl	0,514	-0,019
mul_by_8388608	signed32	signed32	sync	impl	0,382	-0,019
mul_by_8388608	signed64	signed64	sync	impl	0,514	-0,019
div_by_8388608	unsigned32	unsigned32	sync	impl	0,514	-0,019
div_by_8388608	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_8388608	signed32	signed32	sync	impl	1,969	-0,100
div_by_8388608	signed64	signed64	sync	impl	2,574	-0,065
dotnet_shift_left_by_24	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_left_by_24	signed64	signed64	sync	impl	0,388	-0,019
dotnet_shift_right_by_24	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_24	signed64	signed64	sync	impl	0,735	-0,117
dotnet_shift_left_by_24	unsigned32	unsigned32	sync	impl	0,317	-0,019
dotnet_shift_left_by_24	signed32	signed32	sync	impl	0,317	-0,019
dotnet_shift_right_by_24	unsigned32	unsigned32	sync	impl	0,382	-0,019
dotnet_shift_right_by_24	signed32	signed32	sync	impl	0,915	-0,079
mul_by_16777216	unsigned32	unsigned32	sync	impl	0,317	-0,019
mul_by_16777216	unsigned64	unsigned64	sync	impl	0,388	-0,019
mul_by_16777216	signed32	signed32	sync	impl	0,317	-0,019
mul_by_16777216	signed64	signed64	sync	impl	0,388	-0,019
div_by_16777216	unsigned32	unsigned32	sync	impl	0,382	-0,019
div_by_16777216	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_16777216	signed32	signed32	sync	impl	2,201	-0,112
div_by_16777216	signed64	signed64	sync	impl	2,349	-0,074
dotnet_shift_left_by_25	unsigned64	unsigned64	sync	impl	0,548	-0,086
dotnet_shift_left_by_25	signed64	signed64	sync	impl	0,548	-0,086
dotnet_shift_right_by_25	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_25	signed64	signed64	sync	impl	0,664	-0,120
dotnet_shift_left_by_25	unsigned32	unsigned32	sync	impl	0,382	-0,019
dotnet_shift_left_by_25	signed32	signed32	sync	impl	0,382	-0,019
dotnet_shift_right_by_25	unsigned32	unsigned32	sync	impl	0,375	-0,019
dotnet_shift_right_by_25	signed32	signed32	sync	impl	0,915	-0,079
mul_by_33554432	unsigned32	unsigned32	sync	impl	0,382	-0,019
mul_by_33554432	unsigned64	unsigned64	sync	impl	0,548	-0,086
mul_by_33554432	signed32	signed32	sync	impl	0,382	-0,019
mul_by_33554432	signed64	signed64	sync	impl	0,548	-0,086
div_by_33554432	unsigned32	unsigned32	sync	impl	0,375	-0,019
div_by_33554432	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_33554432	signed32	signed32	sync	impl	2,106	-0,117
div_by_33554432	signed64	signed64	sync	impl	2,333	-0,056
dotnet_shift_left_by_26	unsigned64	unsigned64	sync	impl	0,397	-0,019
dotnet_shift_left_by_26	signed64	signed64	sync	impl	0,397	-0,019
dotnet_shift_right_by_26	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_26	signed64	signed64	sync	impl	0,715	-0,126
dotnet_shift_left_by_26	unsigned32	unsigned32	sync	impl	0,514	-0,019
dotnet_shift_left_by_26	signed32	signed32	sync	impl	0,514	-0,019
dotnet_shift_right_by_26	unsigned32	unsigned32	sync	impl	0,359	-0,019
dotnet_shift_right_by_26	signed32	signed32	sync	impl	1,330	-0,083
mul_by_67108864	unsigned32	unsigned32	sync	impl	0,514	-0,019
mul_by_67108864	unsigned64	unsigned64	sync	impl	0,397	-0,019
mul_by_67108864	signed32	signed32	sync	impl	0,514	-0,019
mul_by_67108864	signed64	signed64	sync	impl	0,397	-0,019
div_by_67108864	unsigned32	unsigned32	sync	impl	0,359	-0,019
div_by_67108864	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_67108864	signed32	signed32	sync	impl	2,061	-0,101
div_by_67108864	signed64	signed64	sync	impl	2,502	-0,064
dotnet_shift_left_by_27	unsigned64	unsigned64	sync	impl	0,447	-0,086
dotnet_shift_left_by_27	signed64	signed64	sync	impl	0,447	-0,086
dotnet_shift_right_by_27	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_27	signed64	signed64	sync	impl	0,792	-0,114
dotnet_shift_left_by_27	unsigned32	unsigned32	sync	impl	0,514	-0,019
dotnet_shift_left_by_27	signed32	signed32	sync	impl	0,514	-0,019
dotnet_shift_right_by_27	unsigned32	unsigned32	sync	impl	0,382	-0,019
dotnet_shift_right_by_27	signed32	signed32	sync	impl	0,725	-0,095
mul_by_134217728	unsigned32	unsigned32	sync	impl	0,514	-0,019
mul_by_134217728	unsigned64	unsigned64	sync	impl	0,447	-0,086
mul_by_134217728	signed32	signed32	sync	impl	0,514	-0,019
mul_by_134217728	signed64	signed64	sync	impl	0,447	-0,086
div_by_134217728	unsigned32	unsigned32	sync	impl	0,382	-0,019
div_by_134217728	unsigned64	unsigned64	sync	impl	0,388	-0,019
div_by_134217728	signed32	signed32	sync	impl	2,023	-0,065
div_by_134217728	signed64	signed64	sync	impl	2,487	-0,080
dotnet_shift_left_by_28	unsigned64	unsigned64	sync	impl	0,479	-0,135
dotnet_shift_left_by_28	signed64	signed64	sync	impl	0,479	-0,135
dotnet_shift_right_by_28	unsigned64	unsigned64	sync	impl	0,388	-0,019
dotnet_shift_right_by_28	signed64	signed64	sync	impl	0,792	-0,114
dotnet_shift_left_by_28	unsigned32	unsigned32	sync	impl	0,376	-0,019
dotnet_shift_left_by_28	signed32	signed32	sync	impl	0,376	-0,019
dotnet_shift_right_by_28	unsigned32	unsigned32	sync	impl	0,317	-0,019
dotnet_shift_right_by_28	signed32	signed32	sync	impl	1,328	-0,092
