Op	InType	OutType	Template	DesignStat	DPD	TWDFR
mul_by_8	signed32	signed32	sync	impl	0,965	0,136
mul_by_8	signed64	signed64	sync	impl	0,993	0,119
div_by_8	unsigned8	unsigned8	sync	impl	0,806	0,153
div_by_8	unsigned16	unsigned16	sync	impl	0,943	0,125
div_by_8	unsigned32	unsigned32	sync	impl	1,014	0,136
div_by_8	unsigned64	unsigned64	sync	impl	0,996	0,142
div_by_8	signed8	signed8	sync	impl	2,275	0,022
div_by_8	signed16	signed16	sync	impl	2,894	0,143
div_by_8	signed32	signed32	sync	impl	2,722	0,135
div_by_8	signed64	signed64	sync	impl	2,519	0,127
dotnet_shift_left_by_4	unsigned64	unsigned64	sync	impl	1,151	0,157
dotnet_shift_left_by_4	signed64	signed64	sync	impl	1,151	0,157
dotnet_shift_right_by_4	unsigned64	unsigned64	sync	impl	1,184	0,150
dotnet_shift_right_by_4	signed64	signed64	sync	impl	0,975	0,141
dotnet_shift_left_by_4	unsigned32	unsigned32	sync	impl	0,943	0,121
dotnet_shift_left_by_4	signed32	signed32	sync	impl	0,943	0,121
dotnet_shift_right_by_4	unsigned32	unsigned32	sync	impl	1,014	0,137
dotnet_shift_right_by_4	signed32	signed32	sync	impl	0,944	0,121
mul_by_16	unsigned8	unsigned8	sync	impl	0,674	0,154
mul_by_16	unsigned16	unsigned16	sync	impl	0,968	0,137
mul_by_16	unsigned32	unsigned32	sync	impl	0,943	0,121
mul_by_16	unsigned64	unsigned64	sync	impl	1,151	0,157
mul_by_16	signed8	signed8	sync	impl	0,674	0,154
mul_by_16	signed16	signed16	sync	impl	0,968	0,137
mul_by_16	signed32	signed32	sync	impl	0,943	0,121
mul_by_16	signed64	signed64	sync	impl	1,151	0,157
div_by_16	unsigned8	unsigned8	sync	impl	0,944	0,122
div_by_16	unsigned16	unsigned16	sync	impl	0,965	0,138
div_by_16	unsigned32	unsigned32	sync	impl	1,014	0,137
div_by_16	unsigned64	unsigned64	sync	impl	1,184	0,150
div_by_16	signed8	signed8	sync	impl	2,487	-0,021
div_by_16	signed16	signed16	sync	impl	2,225	0,143
div_by_16	signed32	signed32	sync	impl	3,126	0,038
div_by_16	signed64	signed64	sync	impl	3,627	0,157
dotnet_shift_left_by_5	unsigned64	unsigned64	sync	impl	1,643	0,134
dotnet_shift_left_by_5	signed64	signed64	sync	impl	1,643	0,134
dotnet_shift_right_by_5	unsigned64	unsigned64	sync	impl	0,977	0,124
dotnet_shift_right_by_5	signed64	signed64	sync	impl	1,212	0,257
dotnet_shift_left_by_5	unsigned32	unsigned32	sync	impl	0,965	0,136
dotnet_shift_left_by_5	signed32	signed32	sync	impl	0,965	0,136
dotnet_shift_right_by_5	unsigned32	unsigned32	sync	impl	0,945	0,118
dotnet_shift_right_by_5	signed32	signed32	sync	impl	1,174	0,041
mul_by_32	unsigned8	unsigned8	sync	impl	0,671	0,152
mul_by_32	unsigned16	unsigned16	sync	impl	0,944	0,121
mul_by_32	unsigned32	unsigned32	sync	impl	0,965	0,136
mul_by_32	unsigned64	unsigned64	sync	impl	1,643	0,134
mul_by_32	signed8	signed8	sync	impl	0,671	0,152
mul_by_32	signed16	signed16	sync	impl	0,944	0,121
mul_by_32	signed32	signed32	sync	impl	0,965	0,136
mul_by_32	signed64	signed64	sync	impl	1,643	0,134
div_by_32	unsigned8	unsigned8	sync	impl	0,671	0,152
div_by_32	unsigned16	unsigned16	sync	impl	0,948	0,120
div_by_32	unsigned32	unsigned32	sync	impl	0,945	0,118
div_by_32	unsigned64	unsigned64	sync	impl	0,977	0,124
div_by_32	signed8	signed8	sync	impl	1,920	0,118
div_by_32	signed16	signed16	sync	impl	2,501	0,137
div_by_32	signed32	signed32	sync	impl	3,726	0,058
div_by_32	signed64	signed64	sync	impl	3,784	0,074
dotnet_shift_left_by_6	unsigned64	unsigned64	sync	impl	1,186	0,133
dotnet_shift_left_by_6	signed64	signed64	sync	impl	1,186	0,133
dotnet_shift_right_by_6	unsigned64	unsigned64	sync	impl	1,046	0,128
dotnet_shift_right_by_6	signed64	signed64	sync	impl	1,052	0,123
dotnet_shift_left_by_6	unsigned32	unsigned32	sync	impl	0,965	0,136
dotnet_shift_left_by_6	signed32	signed32	sync	impl	0,965	0,136
dotnet_shift_right_by_6	unsigned32	unsigned32	sync	impl	0,966	0,136
dotnet_shift_right_by_6	signed32	signed32	sync	impl	0,977	0,108
mul_by_64	unsigned8	unsigned8	sync	impl	0,670	0,154
mul_by_64	unsigned16	unsigned16	sync	impl	0,965	0,136
mul_by_64	unsigned32	unsigned32	sync	impl	0,965	0,136
mul_by_64	unsigned64	unsigned64	sync	impl	1,186	0,133
mul_by_64	signed8	signed8	sync	impl	0,670	0,154
mul_by_64	signed16	signed16	sync	impl	0,965	0,136
mul_by_64	signed32	signed32	sync	impl	0,965	0,136
mul_by_64	signed64	signed64	sync	impl	1,186	0,133
div_by_64	unsigned8	unsigned8	sync	impl	0,964	0,137
div_by_64	unsigned16	unsigned16	sync	impl	0,965	0,136
div_by_64	unsigned32	unsigned32	sync	impl	0,966	0,136
div_by_64	unsigned64	unsigned64	sync	impl	1,046	0,128
div_by_64	signed8	signed8	sync	impl	2,559	0,129
div_by_64	signed16	signed16	sync	impl	2,572	0,113
div_by_64	signed32	signed32	sync	impl	3,884	0,093
div_by_64	signed64	signed64	sync	impl	3,501	0,180
dotnet_shift_left_by_7	unsigned64	unsigned64	sync	impl	0,969	0,136
dotnet_shift_left_by_7	signed64	signed64	sync	impl	0,969	0,136
dotnet_shift_right_by_7	unsigned64	unsigned64	sync	impl	1,085	0,119
dotnet_shift_right_by_7	signed64	signed64	sync	impl	1,048	0,121
dotnet_shift_left_by_7	unsigned32	unsigned32	sync	impl	0,964	0,136
dotnet_shift_left_by_7	signed32	signed32	sync	impl	0,964	0,136
dotnet_shift_right_by_7	unsigned32	unsigned32	sync	impl	0,964	0,138
dotnet_shift_right_by_7	signed32	signed32	sync	impl	1,025	0,130
mul_by_128	unsigned8	unsigned8	sync	impl	0,806	0,154
mul_by_128	unsigned16	unsigned16	sync	impl	1,044	0,139
mul_by_128	unsigned32	unsigned32	sync	impl	0,964	0,136
mul_by_128	unsigned64	unsigned64	sync	impl	0,969	0,136
mul_by_128	signed16	signed16	sync	impl	1,044	0,139
mul_by_128	signed32	signed32	sync	impl	0,964	0,136
mul_by_128	signed64	signed64	sync	impl	0,969	0,136
div_by_128	unsigned8	unsigned8	sync	impl	0,670	0,154
div_by_128	unsigned16	unsigned16	sync	impl	0,964	0,136
div_by_128	unsigned32	unsigned32	sync	impl	0,964	0,138
div_by_128	unsigned64	unsigned64	sync	impl	1,085	0,119
div_by_128	signed16	signed16	sync	impl	3,629	0,141
div_by_128	signed32	signed32	sync	impl	3,542	0,121
div_by_128	signed64	signed64	sync	impl	3,894	0,123
dotnet_shift_left_by_8	unsigned64	unsigned64	sync	impl	0,965	0,135
dotnet_shift_left_by_8	signed64	signed64	sync	impl	0,965	0,135
dotnet_shift_right_by_8	unsigned64	unsigned64	sync	impl	1,046	0,127
dotnet_shift_right_by_8	signed64	signed64	sync	impl	1,047	0,120
dotnet_shift_left_by_8	unsigned32	unsigned32	sync	impl	0,965	0,138
dotnet_shift_left_by_8	signed32	signed32	sync	impl	0,965	0,138
dotnet_shift_right_by_8	unsigned32	unsigned32	sync	impl	0,965	0,138
dotnet_shift_right_by_8	signed32	signed32	sync	impl	1,636	0,059
mul_by_256	unsigned16	unsigned16	sync	impl	0,804	0,159
mul_by_256	unsigned32	unsigned32	sync	impl	0,965	0,138
mul_by_256	unsigned64	unsigned64	sync	impl	0,965	0,135
mul_by_256	signed16	signed16	sync	impl	0,804	0,159
mul_by_256	signed32	signed32	sync	impl	0,965	0,138
mul_by_256	signed64	signed64	sync	impl	0,965	0,135
div_by_256	unsigned16	unsigned16	sync	impl	0,965	0,139
div_by_256	unsigned32	unsigned32	sync	impl	0,965	0,138
div_by_256	unsigned64	unsigned64	sync	impl	1,046	0,127
div_by_256	signed16	signed16	sync	impl	3,606	0,097
div_by_256	signed32	signed32	sync	impl	3,620	0,119
div_by_256	signed64	signed64	sync	impl	3,879	0,120
dotnet_shift_left_by_9	unsigned64	unsigned64	sync	impl	0,954	0,117
dotnet_shift_left_by_9	signed64	signed64	sync	impl	0,954	0,117
dotnet_shift_right_by_9	unsigned64	unsigned64	sync	impl	1,128	0,123
dotnet_shift_right_by_9	signed64	signed64	sync	impl	1,154	0,141
dotnet_shift_left_by_9	unsigned32	unsigned32	sync	impl	0,965	0,138
dotnet_shift_left_by_9	signed32	signed32	sync	impl	0,965	0,138
